checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
0	moddrop_seed1111	LAV	20	10	10	0.006535947712	0.8579605263	0.02603504615	0
0	moddrop_seed1111	LAV	20	20	30	0.01960784314	0.8778444444	0.1052160698	0
0	moddrop_seed1111	LAV	30	10	19	0.01241830065	0.880176948	0.05676282854	0
0	moddrop_seed1111	LAV	30	20	52	0.0339869281	0.898173207	0.1694924178	0
0	moddrop_seed1111	LAV	40	10	30	0.01960784314	0.7284888889	0.04747646207	0
0	moddrop_seed1111	LAV	40	20	78	0.05098039216	0.7540571802	0.1400649213	0
0	moddrop_seed1111	LA	20	10	16	0.01045751634	0.9045161823	0.06618245171	0
0	moddrop_seed1111	LA	20	20	35	0.02287581699	0.8937792642	0.13866846	0
0	moddrop_seed1111	LA	30	10	25	0.01633986928	0.8371561462	0.06212416895	0
0	moddrop_seed1111	LA	30	20	62	0.04052287582	0.8248769447	0.1326426941	0
0	moddrop_seed1111	LA	40	10	36	0.02352941176	0.7928566116	0.06288060974	0
0	moddrop_seed1111	LA	40	20	90	0.05882352941	0.791087963	0.1410914323	0
0	moddrop_seed1111	LV	20	10	13	0.008496732026	0.8997515339	0.06313474392	0
0	moddrop_seed1111	LV	20	20	36	0.02352941176	0.8887773315	0.1082222077	0
0	moddrop_seed1111	LV	30	10	22	0.01437908497	0.9049011333	0.1892958104	0.09090909091
0	moddrop_seed1111	LV	30	20	60	0.03921568627	0.9043424036	0.2462289459	0.03333333333
0	moddrop_seed1111	LV	40	10	32	0.02091503268	0.8045727637	0.1438880603	0.0625
0	moddrop_seed1111	LV	40	20	85	0.05555555556	0.8104050478	0.2076293023	0.02352941176
0	moddrop_seed1111	L	20	10	15	0.009803921569	0.8495929593	0.05152354158	0
0	moddrop_seed1111	L	20	20	38	0.02483660131	0.865369691	0.113178197	0
0	moddrop_seed1111	L	30	10	21	0.0137254902	0.8493483543	0.05675490615	0
0	moddrop_seed1111	L	30	20	56	0.03660130719	0.874466951	0.1477344392	0
0	moddrop_seed1111	L	40	10	27	0.01764705882	0.7785416821	0.05192168239	0
0	moddrop_seed1111	L	40	20	70	0.04575163399	0.8011448141	0.1354657384	0
