checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
0	uniform_kd_seed1111	LAV	20	10	10	0.006535947712	0.8698026316	0.0349789808	0
0	uniform_kd_seed1111	LAV	20	20	25	0.01633986928	0.8578604651	0.05835647912	0
0	uniform_kd_seed1111	LAV	30	10	18	0.01176470588	0.898074662	0.1164170682	0
0	uniform_kd_seed1111	LAV	30	20	43	0.02810457516	0.8881781642	0.1438365166	0
0	uniform_kd_seed1111	LAV	40	10	31	0.02026143791	0.7073210097	0.08099765377	0
0	uniform_kd_seed1111	LAV	40	20	67	0.04379084967	0.742335826	0.1189828829	0
0	uniform_kd_seed1111	LA	20	10	8	0.00522875817	0.8341819974	0.01836800445	0
0	uniform_kd_seed1111	LA	20	20	27	0.01764705882	0.8657992657	0.07095294654	0
0	uniform_kd_seed1111	LA	30	10	22	0.01437908497	0.9103870268	0.145390819	0
0	uniform_kd_seed1111	LA	30	20	54	0.03529411765	0.8985245408	0.2002254209	0
0	uniform_kd_seed1111	LA	40	10	38	0.02483660131	0.749250388	0.1029844742	0
0	uniform_kd_seed1111	LA	40	20	81	0.05294117647	0.7835842514	0.1676760909	0
0	uniform_kd_seed1111	LV	20	10	11	0.007189542484	0.8221916333	0.02002278119	0
0	uniform_kd_seed1111	LV	20	20	30	0.01960784314	0.8571333333	0.07051171521	0
0	uniform_kd_seed1111	LV	30	10	17	0.01111111111	0.8634578749	0.04408652663	0
0	uniform_kd_seed1111	LV	30	20	44	0.02875816993	0.8911201517	0.1566203849	0
0	uniform_kd_seed1111	LV	40	10	25	0.01633986928	0.7333820598	0.0387511699	0
0	uniform_kd_seed1111	LV	40	20	58	0.03790849673	0.7928574775	0.1351342658	0
0	uniform_kd_seed1111	L	20	10	14	0.009150326797	0.9034112326	0.05525387664	0
0	uniform_kd_seed1111	L	20	20	30	0.01960784314	0.9012666667	0.1052812714	0
0	uniform_kd_seed1111	L	30	10	25	0.01633986928	0.8815681063	0.06762963958	0
0	uniform_kd_seed1111	L	30	20	60	0.03921568627	0.8917346939	0.1764408365	0
0	uniform_kd_seed1111	L	40	10	30	0.01960784314	0.7968777778	0.06219794716	0
0	uniform_kd_seed1111	L	40	20	78	0.05098039216	0.7883820725	0.1560842935	0
