checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
1	moddrop_seed1114	LAV	40	10	37	0.02852737086	0.7818961819	0.1269273931	0.02702702703
1	moddrop_seed1114	LAV	40	20	81	0.06245181187	0.7725897498	0.1836696631	0.01234567901
1	moddrop_seed1114	LA	20	10	18	0.01387818042	0.8894970029	0.07451606047	0
1	moddrop_seed1114	LA	20	20	33	0.02544333076	0.8931242808	0.1241371764	0
1	moddrop_seed1114	LA	30	10	28	0.02158828065	0.8853990769	0.104129372	0
1	moddrop_seed1114	LA	30	20	58	0.04471858134	0.8968161198	0.2239102996	0
1	moddrop_seed1114	LA	40	10	34	0.02621434079	0.8240650179	0.09525143766	0
1	moddrop_seed1114	LA	40	20	75	0.05782575173	0.8147081288	0.1981329177	0
1	moddrop_seed1114	LV	20	10	15	0.01156515035	0.8619864795	0.04218128299	0
1	moddrop_seed1114	LV	20	20	33	0.02544333076	0.8774932873	0.1401543794	0.0303030303
1	moddrop_seed1114	LV	30	10	31	0.02390131072	0.8698975692	0.111533285	0
1	moddrop_seed1114	LV	30	20	58	0.04471858134	0.8841251287	0.225830283	0.01724137931
1	moddrop_seed1114	LV	40	10	43	0.03315343099	0.7545157821	0.09524991967	0
1	moddrop_seed1114	LV	40	20	82	0.0632228219	0.7659741042	0.1902446067	0.01219512195
1	moddrop_seed1114	L	20	10	14	0.01079414032	0.8928849794	0.08065699249	0
1	moddrop_seed1114	L	20	20	25	0.01927525058	0.8696540881	0.09201665895	0
1	moddrop_seed1114	L	30	10	24	0.01850424056	0.9004484158	0.1073469076	0
1	moddrop_seed1114	L	30	20	47	0.03623747109	0.8941787234	0.2071950162	0
1	moddrop_seed1114	L	40	10	31	0.02390131072	0.7945268308	0.09168600222	0
1	moddrop_seed1114	L	40	20	64	0.04934464148	0.7855079075	0.1750805519	0
1	cfcompat_seed1111	LAV	20	10	17	0.01310717039	0.8747702206	0.07756040851	0
1	cfcompat_seed1111	LAV	20	20	34	0.02621434079	0.8537562293	0.1051418467	0
